artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres
"""Cats"" 1981 Original London Cast",0.575083333,0.44275,247260,0.386335833,0.022717397,0.287708333,-14.20541667,0.180675,115.9835,0.334433333,38,5,1,12,['show tunes']
"""Cats"" 1983 Broadway Cast",0.862538462,0.441730769,287280,0.406807692,0.081158264,0.315215385,-10.69,0.176211538,103.0441538,0.268865385,33.07692308,5,1,26,[]
"""Fiddler On The Roof” Motion Picture Chorus",0.856571429,0.348285714,328920,0.286571429,0.024592949,0.325785714,-15.23071429,0.118514286,77.37585714,0.354857143,34.28571429,0,1,7,[]
"""Fiddler On The Roof” Motion Picture Orchestra",0.884925926,0.425074074,262890.963,0.24577037,0.073587279,0.275481481,-15.63937037,0.1232,88.66762963,0.37202963,34.44444444,0,1,27,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1991 London Cast",0.605444444,0.437333333,232428.1111,0.429333333,0.03753356,0.216111111,-11.44722222,0.086,120.3296667,0.458666667,42.55555556,11,1,9,[]
"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",0.609555556,0.487277778,205091.9444,0.309905556,0.004695657,0.274766667,-18.26638889,0.098022222,118.6489444,0.441555556,34.16666667,5,1,36,[]
"""Mama"" Helen Teagarden",0.725,0.637,135533,0.512,0.186,0.426,-20.615,0.21,134.819,0.885,0,8,1,2,[]
"""Mista Dj Paul",0.0069,0.849,123040,0.487,0.464,0.146,-9.664,0.351,170.981,0.499,36,4,0,1,[]
"""Test for Victor Young""",0.927,0.734,175693,0.474,0.0762,0.737,-10.544,0.256,132.788,0.902,2,10,1,2,[]
"""Weird Al"" Yankovic",0.176934091,0.664787879,218165.2576,0.685136364,4.63E-05,0.162139394,-9.877909091,0.082392424,132.4950909,0.754409091,33.68181818,9,1,132,"['antiviral pop', 'comedy rock', 'comic', 'parody']"
$IMEON,0.2423,0.806666667,66307.33333,0.469,1.39E-06,0.204333333,-12.168,0.482666667,106.02,0.592,62.66666667,6,0,6,[]
$NOT,0.547,0.750125,152929.5,0.51975,0.043137138,0.213975,-8.8785,0.276725,114.229125,0.3195,64.625,6,1,8,"['east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap']"
$pyda,0.000122,0.514,331240,0.899,0.0793,0.367,-5.115,0.0602,174.028,0.266,58,7,1,1,[]
$uicideBoy$,0.128122623,0.765245902,147549.4426,0.641704918,0.038454471,0.201195082,-6.626918033,0.155917213,119.8043607,0.296095902,61.64754098,1,1,122,"['dark trap', 'new orleans rap', 'underground hip hop']"
'Be More Chill' Ensemble,0.764,0.497,164400,0.474,0.000223,0.453,-7.279,0.044,133.934,0.493,52,3,1,1,[]
'In The Heights' Original Broadway Company,0.636588235,0.541,301908.2941,0.402282353,7.75E-06,0.193823529,-9.405882353,0.150005882,114.9525294,0.407764706,46.58823529,7,1,17,"['broadway', 'show tunes']"
'Legally Blonde' Ensemble,0.601083333,0.613583333,291892.1667,0.4115,1.96E-05,0.215666667,-11.20033333,0.459583333,115.58,0.503166667,48.16666667,8,1,12,"['broadway', 'hollywood', 'show tunes']"
'Legally Blonde' Greek Chorus,0.6045,0.7735,361780,0.3095,0,0.2222,-12.669,0.289,105.7,0.5965,49,10,1,2,['show tunes']
'Little Women' Original Broadway Cast,0.902,0.345,275360,0.325,0.00214,0.0721,-7.955,0.0354,90.03,0.168,42,1,1,2,[]
'Til Tuesday,0.10555625,0.557125,255213.5,0.61225,0.023300253,0.1275875,-9.638125,0.03215,103.08025,0.532625,35.125,0,1,16,"['boston rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop']"
((( O ))),0.847,0.41,311837,0.169,0.00327,0.117,-11.422,0.0485,89.494,0.208,66,3,1,2,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']"
