id,artist_1,artist,title_clean,title,genres,popularity,Successful,year,release_date,duration_ms,tempo,key,mode,acousticness,instrumentalness,danceability,energy,liveness,loudness,speechiness,valence,explicit,peak,weeks,msd_id,echo_nest_id
000u1dTg7y1XCDXi80hbBX,TEXAS,TEXAS,I DON'T WANT A LOVER,I DON'T WANT A LOVER,"country, country road, country rock",61,1,1989,1/1/89,300600,120.484,7,1,0.196,0.000487,0.7559999999999999,0.47,0.126,-12.615,0.0394,0.43,0,6.0,77.0,TRRBOBU128F4293068,SOSBSYR12A8C140BC9
003FTlCpBTM4eSqYSWPv4H,THE ALL-AMERICAN REJECTS,THE ALL-AMERICAN REJECTS,"SWING, SWING","SWING, SWING","modern rock, neo mellow, pop punk, pop rock, post-grunge",67,1,2002,10/15/02,233267,127.947,7,1,6.48e-05,0.128,0.5529999999999999,0.7170000000000001,0.0385,-5.857,0.0318,0.318,0,,,,
005Dlt8Xaz3DkaXiRJgdiS,RICARDO ARJONA,RICARDO ARJONA,HISTORIA DE TAXI,HISTORIA DE TAXI,"cantautor, latin, latin arena pop, latin pop, rock en espanol, tropical",62,0,1994,4/14/94,405120,147.053,2,0,0.11699999999999999,1.07e-06,0.715,0.621,0.27899999999999997,-10.755,0.0341,0.698,0,,,TRXIDNF128F934259F,SOHMEFO12D02193142
006yvCdaWUS79qp2Ip3Hdl,CHASE,CHASE,GET IT ON,GET IT ON,"contemporary country, country, country road, modern country rock",26,1,1971,4/6/71,179147,135.797,5,1,0.48700000000000004,0.00358,0.409,0.902,0.035,-5.7139999999999995,0.1,0.728,0,,,,
00AS1Cy5BASzGnl8MrVUcv,THE YOUNGBLOODS,THE YOUNGBLOODS,RIDE THE WIND,RIDE THE WIND,"classic rock, country rock, folk rock, psychedelic rock, traditional folk",20,0,1969,3/11/69,396600,119.03299999999999,2,1,0.91,0.6509999999999999,0.5579999999999999,0.307,0.0866,-20.491999999999997,0.0343,0.674,0,,,TRVCPQS128F4285928,SOIQBAU12A8C139AB7
00CmjeeHvAVKvx3tcIiZTy,MARY WELLS,MARY WELLS,TWO LOVERS,TWO LOVERS,"brill building pop, classic soul, funk, motown, soul",49,1,1963,1/1/63,166733,105.902,2,1,0.426,0.0,0.6779999999999999,0.405,0.109,-16.965,0.0304,0.96,0,13.0,7.0,TRRJBQZ128F4286FB3,SOAMHMB12AF729DCB0
00GfGwzlSB8DoA0cDP2Eit,BABYFACE,BABYFACE,TENDER LOVER,TENDER LOVER,"dance pop, neo soul, new jack swing, quiet storm, r&b, urban contemporary",37,1,1989,7/7/89,259267,102.459,5,1,0.226,0.00042199999999999996,0.743,0.86,0.0513,-6.346,0.0445,0.687,0,17.0,14.0,TRWWQDT128F426EA10,SONMSRY12A8C134854
00IIRIjBvLdF3iYN85baVx,REO SPEEDWAGON,REO SPEEDWAGON,ONE LONELY NIGHT,ONE LONELY NIGHT,"album rock, classic rock, country rock, folk rock, hard rock, heartland rock, mellow gold, pop rock, rock, soft rock",31,1,1984,11/5/84,201467,76.051,5,1,0.0561,0.000149,0.408,0.579,0.0712,-10.277000000000001,0.026000000000000002,0.397,0,16.0,19.0,TRVSRVI128F4261843,SOUMDTE12A8AE49414
00IrSynHsun7DpDrLkRIjM,PAUL SIMON,PAUL SIMON,THE BOY IN THE BUBBLE,THE BOY IN THE BUBBLE,"classic rock, folk, folk rock, mellow gold, permanent wave, rock, roots rock, singer-songwriter, soft rock",55,1,1986,8/12/86,239693,136.155,2,1,0.479,0.0,0.62,0.703,0.14,-7.854,0.0836,0.5589999999999999,0,,,,
00Mb3DuaIH1kjrwOku9CGU,AVRIL LAVIGNE,AVRIL LAVIGNE,SK8ER BOI,SK8ER BOI,"canadian pop, candy pop, dance pop, pop, post-teen pop",76,1,2002,6/4/02,204000,149.937,0,1,6.790000000000001e-05,0.0,0.48700000000000004,0.9,0.358,-4.417,0.0482,0.484,0,20.0,10.0,TRGDLXQ128F4260C69,SOUVSTM12A8AE48BC8
00NAQYOP4AmWR549nnYJZu,THE WEEKND,THE WEEKND,SECRETS,SECRETS,"canadian contemporary r&b, canadian pop, pop",71,1,2016,11/25/16,265600,109.945,0,1,0.0155,9.6e-06,0.664,0.7709999999999999,0.46,-5.779,0.0533,0.763,0,,,,
00NUqFMIpCsrYPbM9YpVHQ,LIL WAYNE,LIL WAYNE,MEGAMAN,MEGAMAN,"hip hop, new orleans rap, pop rap, rap, trap",53,1,2011,1/1/11,198280,101.866,11,0,0.0114,0.0,0.504,0.856,0.256,-5.024,0.28600000000000003,0.335,1,,,,
00NxCtvQTy3wkSvpaKEyKe,THE MILLS BROTHERS,THE MILLS BROTHERS,PAPER DOLL,PAPER DOLL,"adult standards, big band, lounge, swing, vocal harmony group, vocal jazz",40,0,1992,1/1/92,157133,163.55700000000002,5,1,0.956,0.00449,0.612,0.139,0.0925,-13.529000000000002,0.0885,0.489,0,,,TRENQDX128F4249B80,SOCVIXA12A8C134740
00ODCfwZix0sfqSfBYT18Z,JOHN WAITE,JOHN WAITE,CHANGE,CHANGE,"album rock, mellow gold, new wave pop, soft rock",49,1,1982,1/1/82,196693,149.028,11,1,0.24600000000000002,0.0,0.40299999999999997,0.848,0.616,-11.615,0.0625,0.622,0,10.0,54.0,TRSHXOI128F146B1AE,SOYAFZB12A6D4F81E9
00PLtXXER1XcTRZvs3LioS,THE BROTHERS JOHNSON,THE BROTHERS JOHNSON,GET THE FUNK OUT MA FACE,GET THE FUNK OUT MA FACE,"classic soul, disco, funk, jazz funk, motown, post-disco, quiet storm, soul",48,1,1976,1/1/76,147000,106.03399999999999,2,1,0.292,0.0388,0.88,0.57,0.0674,-13.145,0.0821,0.7909999999999999,0,15.0,30.0,TRFFYHH128F4264F89,SOUOEDY12A58A7C3B5
00U45bMLJ8QM1kwT9i6cIL,JIMMY RUFFIN,JIMMY RUFFIN,I'LL SAY FOREVER MY LOVE,I'LL SAY FOREVER MY LOVE,"brill building pop, classic soul, motown, soul, southern soul",28,1,1969,1/1/69,181040,103.927,0,1,0.00672,0.0,0.5539999999999999,0.621,0.387,-6.879,0.0253,0.664,0,5.0,77.0,TRHFNWM128F1477A17,SOGQFZT12A6D4F884E
00bFaR6IDOyGSuRDpmFotJ,NIGHT RANGER,NIGHT RANGER,SENTIMENTAL STREET,SENTIMENTAL STREET,"album rock, classic rock, glam metal, hard rock, heartland rock, mellow gold, rock, soft rock",27,1,1989,1/1/89,251493,99.647,0,1,0.20199999999999999,0.0,0.653,0.617,0.151,-11.948,0.0295,0.545,0,17.0,8.0,TRSFXJF128EF34943E,SOGYWAP12AF72A1688
00cP5rqzL6ZrwMaqTEeGIN,FIVE FINGER DEATH PUNCH,FIVE FINGER DEATH PUNCH,HARD TO SEE,HARD TO SEE,"alternative metal, groove metal, nu metal, post-grunge",53,0,2009,9/22/09,209493,111.992,11,1,4.62e-06,0.00033999999999999997,0.513,0.976,0.11699999999999999,-3.117,0.17,0.133,1,,,TRMGNCG128F92EBF1D,SOYCUWQ12A8C145BDE
00ceVqQBhF9Angv9jSkNtW,ERYKAH BADU,ERYKAH BADU,APPLE TREE,APPLE TREE,"afrofuturism, hip hop, neo soul, r&b, soul, urban contemporary",38,0,1997,1/1/97,244973,98.29899999999999,6,0,0.0551,6.15e-05,0.479,0.542,0.11699999999999999,-10.445,0.292,0.2,0,,,TRVERRQ128E078DF20,SORTSMU12A6701CFD7
00kvKlIvfzQLSi6T2zwXuS,THE BROTHERS JOHNSON,THE BROTHERS JOHNSON,STRAWBERRY LETTER 23,STRAWBERRY LETTER 23,"classic soul, disco, funk, jazz funk, motown, post-disco, quiet storm, soul",62,1,1977,1/1/77,299067,90.973,7,0,0.26899999999999996,0.008740000000000001,0.73,0.622,0.111,-11.7,0.0532,0.752,0,19.0,5.0,TRIVGFC128F428FD5C,SOFSHWK12A8C14106C
00oIqmk1eRn9D2y8BzNLS1,MARIE OSMOND,MARIE OSMOND,PAPER ROSES,PAPER ROSES,"bubblegum pop, classic country pop",40,1,2002,1/1/02,158973,114.17200000000001,8,1,0.272,1.52e-05,0.359,0.504,0.332,-10.555,0.0349,0.73,0,16.0,5.0,TRTRFQI128F145FE8B,SOGAXLL12A6D4F7D94
00olYl3uAVihNRt46OAT04,THE BOX TOPS,THE BOX TOPS,I'M YOUR PUPPET,I'M YOUR PUPPET,"brill building pop, bubblegum pop, classic garage rock, folk rock, merseybeat",26,0,1967,1967,171467,95.581,9,1,0.64,1.0199999999999999e-05,0.684,0.304,0.281,-13.466,0.0265,0.9129999999999999,0,,,TRENJNM128F429D179,SONUCOM12A58A77551
00p615Q4EFYMIAr055wqRu,BILLY JOEL,BILLY JOEL,ALL ABOUT SOUL,ALL ABOUT SOUL,"album rock, classic rock, folk rock, mellow gold, piano rock, rock, singer-songwriter, soft rock",47,1,1993,8/10/93,361307,108.594,2,0,0.0386,0.0,0.555,0.86,0.325,-5.965,0.038,0.46799999999999997,0,,,,
00pGaOhIq27ToaysOlbIGW,GENESIS,GENESIS,THAT'S ALL,THAT'S ALL,"album rock, art rock, classic rock, mellow gold, progressive rock, rock, soft rock, symphonic rock",46,1,1999,10/25/99,264427,87.686,4,0,0.248,0.0107,0.6990000000000001,0.654,0.081,-6.894,0.0329,0.784,0,,,,
00qP28OLPa3PQ7EmWBsaMK,ARMANDO MANZANERO,ARMANDO MANZANERO,ADORO,ADORO,"bolero, cancion melodica, cantautor, latin, latin pop, nueva cancion, ranchera, velha guarda",51,0,1967,5/22/67,141667,102.648,2,0,0.6509999999999999,0.0,0.535,0.456,0.397,-7.06,0.0286,0.402,0,,,TRJHZFL128F4276653,SOVWOZL12A8C13CCE1
